targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
1108,1109,1102;1103;1104;1105;1106,77365;80502;81390;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1108,1110,1102;1103;1104;1105;1106,77365;80502;81390;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1108,1107,1102;1103;1104;1105;1106,77365;80502;81390;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1289,1283,1102;1103;1104;1105;1106,77365;80502;81390;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1290,1284,1102;1103;1104;1105;1106,77365;80502;81390;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1291,1285,1102;1103;1104;1105;1106,77365;80502;81390;201820;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1292,1286,1102;1103;1104;1105;1106,77365;80502;81390;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1293,1287,1102;1103;1104;1105;1106,77365;80502;81390;318800;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1294,1288,1102;1103;1104;1105;1106,77365;80502;81390;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1297,1295,1102;1103;1104;1105;1106,77365;80502;81390;443392;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
1298,1296,1102;1103;1104;1105;1106,77365;80502;81390;4010333;4087571;4181778;21118274;21600800;21600858;21604147;21604152;21604154;21604155;21604156;21604169;40173414;40173612;40174364;40174486;40174494;41359781;42943685,
